class,sl3,sl6,sl12,sl20,sl30,sl60,sl90
0,-0.009259246435402263,-0.0023408982329646503,-0.00580306586059151,-0.004282874110299671,-0.004135824580825066,-0.0015068321352879285,-0.0004124475518908158
0,-0.001952796311364277,-0.006791239167076017,-0.006484761309827495,-0.00511388438899084,-0.00462022842639594,-0.0016660520810222537,-0.00048029242007034006
1,-0.005334192688373686,-0.0048769415544082685,-0.006500061263410799,-0.00469935826832918,-0.003903794537104184,-0.0014532414577918395,-0.0005918433696040881
1,0.00415827491629874,-0.002608239497846004,-0.004207862984613565,-0.0030316617677469907,-0.0031676380596120167,-0.0008332071187597174,-0.00045975276305572403
0,0.009275909556089602,0.003634385679414142,-0.0020454663780891612,-0.0038478498290279253,-0.0033304666713833133,-0.0009911131766859433,-0.00041890216471669744
