class,sl3,sl6,sl12,sl20,sl30,sl60,sl90
0,0.004028916466120452,0.001469039999957954,0.0015769680501213918,0.0002714863385489177,-0.00017615204243866467,1.5380648738847356e-05,1.0253765825898238e-05
0,-0.0008230060475552865,-0.00011041961423372978,0.0007057402678800584,-0.00018714354415296837,-0.0004476812123924962,-9.521738686448944e-05,-6.347825790965962e-05
0,0.0009296824066683728,0.0007242170327268375,0.000783571396471016,1.1036827354689e-05,-0.00044431065422235235,-7.617431965784976e-05,-5.078287977189984e-05
0,-0.0038198118740445926,8.146774160269867e-05,-0.0004124902329814221,-0.0002892371631870518,-0.00035881838538557497,-0.00017578619851743176,-0.00011719079901162116
0,-0.0024309303867403203,-0.0016239672115335934,-0.0004098182644304818,-0.0005743587253179352,-0.00022846017261740967,-0.00021606950568428074,-0.00014404633712285383
0,-0.007078419063435453,-0.0030842393508889927,-0.0013606678788268486,-0.0010379852306886537,-0.0007409379155066468,-0.00042847769156039133,-0.00028565179437359424
0,-0.006144043394170958,-0.004946723999240226,-0.0017606428059120437,-0.0012313535949214104,-0.0007244778765972647,-0.00047974825413061727,-0.00031983216942041155
0,-0.007301889089590394,-0.004839784162062617,-0.0024734986668477252,-0.0012342416703462603,-0.00103932480705623,-0.0005764308134653528,-0.0003842872089769018
1,-0.003202510943952174,-0.0051064619319190156,-0.00220221700972029,-0.0008857853571591524,-0.00098416103130755,-0.0005844866252686155,-0.000389657750179077
0,-0.0009351357466063178,-0.0035309712984787534,-0.0017256147592100805,-0.0008847784474763946,-0.0009792260018894007,-0.0005251591522355047,-0.00035010610149033646
0,0.001866367806496896,-0.002738202657631883,-0.0021677446805791535,-0.0007776270261397614,-0.000826968469931734,-0.0004863399188792816,-0.00032422661258618777
0,0.0013814713166478395,-0.0009171560791676483,-0.0019922115284174927,-0.0012794466561285782,-0.0009716732460147986,-0.0005178354139595421,-0.00034522360930636147
0,0.0017242928489209488,0.00039215987933635004,-0.002283101780011895,-0.0009281828164579318,-0.0007271339820574427,-0.0004416610943016924,-0.0002944407295344616
0,-0.00031688168062017733,0.0007738559362875921,-0.0020442000000000017,-0.0010382482687406132,-0.000847833292407048,-0.000501721666277749,-0.00033448111085183273
0,0.00015119436655530356,0.0007666461476225237,-0.0021816524402525064,-0.001149400254251666,-0.0009726691600632982,-0.0005105105770239575,-0.0003403403846826384
0,-0.002061529395783157,-0.00017395029402358803,-0.0018506181557644932,-0.0013803003899372896,-0.000920200259958193,-0.0005420060721042202,-0.0003613373814028135
0,-0.0033227564263778944,-0.001818239672538013,-0.002263285038974282,-0.0015585507540395998,-0.001188690076893901,-0.0006628581909240115,-0.00044190546061600766
0,-0.0024027518142828,-0.0011263236476715733,-0.001018640819677894,-0.0013442028502018335,-0.0009249393034480413,-0.0006269682770926329,-0.00041797885139508866
0,-0.0034521902674531433,-0.0027461846440438634,-0.0011802432126696875,-0.0019708132531265263,-0.0008440334668457655,-0.0007090022612158214,-0.0004726681741438809
0,-0.0003356231884057915,-0.0018275170162326678,-0.0005310732446475727,-0.0016823104816205419,-0.0009018656619365849,-0.0006789719386058046,-0.0004526479590705364
0,-0.0036531484621866385,-0.0030147837245916745,-0.001131002605469695,-0.0024521424405545824,-0.0011601304528852435,-0.0008027544756100627,-0.0005351696504067085
0,-0.002218443771173411,-0.002823829284319672,-0.0014974161713687904,-0.0021723761325966864,-0.0014510696403812042,-0.0008152058048240655,-0.000543470536549377
0,-0.0020768447349437196,-0.0012051884057971071,-0.0015051400750506507,-0.002116903715440904,-0.001298127202663194,-0.0007785838174653866,-0.0005190558783102578
0,-0.0003231774379828732,-0.0019863920273438854,-0.0015496458765658983,-0.0019475881043105828,-0.0013310852486670235,-0.0008181350511049354,-0.0005454233674032903
0,-0.003557892094611302,-0.0028763284575586603,-0.0027875597636771395,-0.0023352637399306204,-0.0017215164095344849,-0.0009843991666892364,-0.0006562661111261575
