class,sl3,sl6,sl12,sl20,sl30,sl60,sl90
0,-0.008857911598757644,-0.004149881131040736,-0.00196513746079624,-0.0011846757242614716,-0.0008007804119539512,-0.00013254492991460543,0.00019430587936091026
0,-0.010081503022423539,-0.004771119596753875,-0.0022437676762801016,-0.0013210487874195814,-0.0009292316674498833,-0.00020358756894889055,0.00015645304911061719
0,-0.011599388664266262,-0.005562357444230636,-0.0025796615525931934,-0.0015115711511864114,-0.001077831223647252,-0.00028562277870481333,0.00010814832852819165
0,-0.011881835777728717,-0.0057600541229223465,-0.002647172956584032,-0.0015427469817886406,-0.0011091173738056348,-0.00030542876608825723,9.927047748354077e-05
0,-0.012703592322959522,-0.006258005952048835,-0.002893093258864653,-0.001674526027351587,-0.0012002373569184907,-0.0003554194323028083,6.654208378816738e-05
